,nome,preço à vista,preço à prazo
0,Micro-ondas Electrolux 27L MS37R,"R$ 768,55","R$ 809,00"
1,Panela de Pressão Elétrica Electrolux Digital - PCC20 1000W 6L Controle de Temperatura,"R$ 516,06","R$ 549,00"
2,"Notebook Lenovo IdeaPad 3i Intel Core i5 8GB - 256GB SSD 15,6” Full HD Windows 11 82MD0007BR","R$ 2.699,10","R$ 2.999,00"
3,"Notebook Gamer Lenovo Gaming 3i Intel Core i5 8GB - 512GB SSD 15,5” FullHD NVIDIA GTX 1650 Windows 11","R$ 3.869,10","R$ 4.299,00"
4,Cafeteira Expresso 19 Bar Oster PrimaLatte - Vermelho,"R$ 1.264,71","R$ 1.359,90"
5,"Apple iPhone 14 Pro 256GB Dourado 6,1” 48MP","R$ 7.998,99","R$ 8.887,77"
6,Apple Watch Series 8 41mm GPS + Cellular Caixa Estelar Alumínio Pulseira Esportiva,Não disponível,Não disponível
7,"Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP","R$ 5.999,00","R$ 6.665,55"
8,Lavadora de Roupas Consul 12kg - 16 Programas de Lavagem Branca CWH12BB,"R$ 1.832,55","R$ 1.929,00"
9,Smart TV 55” 4K OLED Samsung QN55S90CA - 144Hz Wi-Fi Bluetooth com Alexa 4 HDMI 2 USB,"R$ 6.364,05","R$ 6.699,00"
